# conjuntos
set Productos:= Abrigo Chamarras Pantalones Guantes;
set Areas_trabajo:= Corte Aislamiento Costura Empaque;

# parametros
param Tiempo_Procesamiento:=
Abrigo Corte 0.3
Abrigo Aislamiento 0.25
Abrigo Costura 0.45
Abrigo Empaque 0.15
Chamarras Corte 0.3
Chamarras Aislamiento 0.35
Chamarras Costura 0.5
Chamarras Empaque 0.15
Pantalones Corte 0.25
Pantalones Aislamiento 0.3
Pantalones Costura 0.4
Pantalones Empaque 0.1
Guantes Corte 0.15
Guantes Aislamiento 0.1
Guantes Costura 0.22
Guantes Empaque 0.05;

param Capacidad:=
Corte 1000
Aislamiento 500
Costura 302
Empaque 700;


param:
			Demanda	utilidad	penalidad:=
Abrigo			800		30		15
Chamarras		750		40		20
Pantalones		600		20		10
Guantes			500		10		2;

