set Jobs:= A B C D E F G;
set Machines:= M1 M2 M3 M4 M5 M6 M7 M8 M9 M10;

param: Utilidad D:=
A 420 180
B 280 360
C 350 600
D 360 130
E 320 210
F 400 150
G 320 220;

param P:=
A M1 3
A M2 6
A M3 2
A M4 6
A M5 8
A M6 6
A M7 8
A M8 8
A M9 4
A M10 1
B M1 1
B M2 6
B M3 5
B M4 5
B M6 4
B M7 7
B M8 4
B M9 4
C M2 5
C M3 3
C M4 5
C M5 8
C M6 2
C M7 4
C M8 5
C M9 5
C M10 1
D M1 5
D M2 5
D M3 1
D M4 6
D M5 8
D M6 4
D M7 7
D M8 7
D M9 5
D M10 1
E M1 5
E M2 6
E M3 1
E M4 2
E M5 8
E M7 6
E M8 6
E M9 5
E M10 2
F M1 2
F M2 6
F M3 2
F M5 8
F M6 2
F M7 8
F M8 7
F M9 4
F M10 1
G M1 2
G M2 5
G M3 1
G M6 6
G M8 5
G M9 4;

#param A:=
#M1 9600*0.95
#M2 9600*1
#M3 9600*0.85
#M4 9600*0.9
#M5 9600*0.9
#M6 9600*0.95
#M7 9600*0.95
#M8 9600*0.9
#M9 9600*0.85
#M10 9600*1;

param A:=
M1 9120
M2 9600
M3 8160
M4 8640
M5 8640
M6 9120
M7 9120
M8 8640
M9 8160
M10 9600;

